Date,Time,Latitude,Longitude,Altitude,Speed,Heading,X-Axis Acceleration,Y-Axis Acceleration,Z-Axis Acceleration
11/3/2022,7:31:57,-33.93304,18.85857,120.5,0.37,177.12,0.01,-0.088,0.978011
11/3/2022,7:31:59,-33.93304,18.85857,120.5,0.3,177.12,0,-0.134,0.992011
11/3/2022,7:32:01,-33.93304,18.85857,120.5,0.52,177.12,0.004,-0.132,0.980011
11/3/2022,7:32:02,-33.93305,18.85857,120.5,0.81,177.12,-0.02,-0.152,1.004011
11/3/2022,7:32:04,-33.93305,18.85857,120.5,0.74,177.12,-0.006,-0.162,0.988011
11/3/2022,7:32:06,-33.93305,18.85857,120.5,0.87,177.12,-0.002,-0.15,0.990011
11/3/2022,7:32:07,-33.93305,18.85857,120.4,0.81,177.12,-0.008,-0.164,0.976011
11/3/2022,7:32:09,-33.93305,18.85857,120.4,0.61,177.12,-0.028,-0.13,1.016011
11/3/2022,7:32:11,-33.93306,18.85856,120.4,0.67,177.12,0.004,-0.076,1.016011
11/3/2022,7:32:13,-33.93306,18.85856,120.4,0.74,177.12,0,-0.076,1.000011
11/3/2022,7:32:15,-33.93306,18.85856,120.5,0.15,177.12,0,-0.05,0.988011
11/3/2022,7:32:16,-33.93306,18.85856,120.5,0.19,177.12,0,-0.072,1.024011
11/3/2022,7:32:18,-33.93306,18.85856,120.5,0.09,177.12,0.02,-0.014,1.016011
11/3/2022,7:32:19,-33.93306,18.85856,120.5,0.15,177.12,0,0.06,1.016011
11/3/2022,7:32:21,-33.93306,18.85856,120.5,0.11,177.12,0.004,0.054,1.020011
11/3/2022,7:32:22,-33.93306,18.85856,120.5,0.15,177.12,0.004,0.044,1.020011
11/3/2022,7:32:23,-33.93306,18.85856,120.5,0.09,177.12,0.004,0.048,1.024011
11/3/2022,7:32:25,-33.93306,18.85856,120.5,0.2,177.12,0.004,0.056,1.020011
11/3/2022,7:32:27,-33.93306,18.85856,120.5,0.33,177.12,0.004,0.06,1.020011
11/3/2022,7:32:28,-33.93306,18.85856,120.5,0.41,177.12,0.008,0.052,1.020011
11/3/2022,7:32:30,-33.93307,18.85856,120.5,0.44,177.12,0.004,0.06,1.012011
11/3/2022,7:32:31,-33.93307,18.85856,120.5,0.19,177.12,0.084,0.04,0.980011
11/3/2022,7:32:33,-33.93307,18.85856,120.5,0.22,177.12,-0.028,0.1,0.982011
11/3/2022,7:32:34,-33.93307,18.85856,120.5,0.28,177.12,0.052,0.188,0.996011
11/3/2022,7:32:36,-33.93307,18.85856,120.5,0.24,177.12,0.002,0.122,1.018011
11/3/2022,7:32:37,-33.93307,18.85856,120.5,0.15,177.12,0,0.124,1.020011
11/3/2022,7:32:39,-33.93307,18.85856,120.5,0.17,177.12,0.004,0.12,1.014011
11/3/2022,7:32:40,-33.93307,18.85856,120.5,0.24,177.12,0,0.124,1.004011
11/3/2022,7:32:42,-33.93306,18.85856,120.5,0.31,177.12,-0.052,0.08,1.018011
11/3/2022,7:32:44,-33.93306,18.85856,120.5,0.57,177.12,-0.094,0.004,1.018011
11/3/2022,7:32:46,-33.93306,18.85855,120.5,0.3,177.12,-0.04,0.028,1.018011
11/3/2022,7:32:48,-33.93306,18.85855,120.5,0.39,177.12,-0.056,0.018,1.012011
11/3/2022,7:32:49,-33.93306,18.85855,120.5,0.28,177.12,-0.004,0.008,1.016011
11/3/2022,7:32:51,-33.93306,18.85855,120.5,0.17,177.12,-0.014,0.008,1.030011
11/3/2022,7:32:53,-33.93306,18.85855,120.4,0.7,177.12,-0.084,0.016,0.982011
11/3/2022,7:32:55,-33.93307,18.85855,120.4,1.31,152.9,-0.074,-0.016,1.01801
11/3/2022,7:32:57,-33.93309,18.85853,120.4,2.41,216.73,0.074,-0.148,0.998011
11/3/2022,7:32:59,-33.93309,18.85848,120.2,14.93,251.21,-0.04,-0.062,1.026011
11/3/2022,7:33:00,-33.93309,18.85843,120,16.04,262.5,-0.064,-0.16,0.960011
11/3/2022,7:33:01,-33.93308,18.85839,119.8,14.85,281.66,-0.14,-0.376,1.024011
11/3/2022,7:33:03,-33.93304,18.8583,119,17.63,317.8,0.084,-0.14,0.910011
11/3/2022,7:33:05,-33.93292,18.85821,118.2,27.32,330.87,0.078,0.192,1.032011
11/3/2022,7:33:07,-33.93279,18.85812,117.1,29.17,317.5,0.166,0.222,1.016011
11/3/2022,7:33:08,-33.93273,18.85805,116.8,30.89,305.89,0.004,0.156,1.020011
11/3/2022,7:33:09,-33.9327,18.85797,116.3,30.78,297.4,-0.06,0.112,1.080011
11/3/2022,7:33:10,-33.93267,18.85789,116.1,27.43,292.2,-0.1,0.12,0.860011
11/3/2022,7:33:11,-33.93264,18.85781,115.9,24.98,288.48,-0.012,0.14,0.880011
11/3/2022,7:33:12,-33.93263,18.85774,115.2,22.34,284.73,0.012,0.12,1.112011
11/3/2022,7:33:14,-33.93261,18.85762,113.3,21.11,280.43,0.236,0.114,1.046011
11/3/2022,7:33:15,-33.9326,18.85754,112.8,25.35,269.67,0.004,0.188,1.032011
11/3/2022,7:33:16,-33.93261,18.85745,112.1,29.3,261.36,0.004,0.06,0.956011
11/3/2022,7:33:18,-33.93264,18.85728,110.5,27,256.6,-0.004,-0.026,0.91601
11/3/2022,7:33:19,-33.93266,18.8572,109.8,24.32,258.44,-0.06,-0.116,0.988011
11/3/2022,7:33:21,-33.93265,18.85708,108.1,16.45,284.04,-0.032,-0.146,1.130011
11/3/2022,7:33:22,-33.93263,18.85704,107.5,14.93,311.61,0.14,-0.024,0.908011
11/3/2022,7:33:23,-33.9326,18.857,106.9,16.46,314.83,0.184,0.276,1.352011
11/3/2022,7:33:24,-33.93257,18.85696,106.5,16.35,306.51,0.012,0.108,0.820011
11/3/2022,7:33:25,-33.93255,18.85692,105.9,16.78,289.28,0.168,0.136,0.776011
11/3/2022,7:33:27,-33.93256,18.85676,104.6,30.19,262.86,0.206,-0.082,0.95801
11/3/2022,7:33:28,-33.93257,18.85665,104.3,35.8,262.1,0.192,-0.084,0.97201
11/3/2022,7:33:30,-33.9326,18.85639,103.6,46.1,262.54,0.03,-0.054,0.95801
11/3/2022,7:33:31,-33.93262,18.85626,103.1,47.23,262.31,0.192,-0.016,0.87201
