Date,Time,Latitude,Longitude,Altitude,Speed,Heading,X-Axis Acceleration,Y-Axis Acceleration,Z-Axis Acceleration
11/3/2022,8:18:50,-34.08452,18.85114,32.8,5.07,45.03,0.012,-0.082,1.01601
11/3/2022,8:18:52,-34.08451,18.85117,33,6.43,51.86,0.012,0.04,1.02401
11/3/2022,8:18:54,-34.08449,18.85123,33,12.46,63.7,-0.066,0.046,0.99601
11/3/2022,8:18:55,-34.08448,18.85126,33,12.35,60.44,-0.032,0.132,1.13601
11/3/2022,8:18:57,-34.08445,18.85133,33.2,9.43,61.87,0.01,0.108,1.05209
11/3/2022,8:18:58,-34.08444,18.85135,33.2,7.48,57.61,0,0.12,1.00009
11/3/2022,8:19:00,-34.08442,18.85139,33.4,4.44,40.53,-0.062,0.07,1.01809
11/3/2022,8:19:02,-34.0844,18.8514,33.5,2.17,2.81,-0.094,0.106,0.98409
11/3/2022,8:19:04,-34.0844,18.85141,33.3,1.63,39.06,0.026,0.094,1.02209
11/3/2022,8:19:05,-34.08439,18.85142,33.3,2.82,54.31,0.16,0.064,0.95609
11/3/2022,8:19:07,-34.08435,18.85144,33.4,6.33,43.35,0.134,0.142,0.99801
11/3/2022,8:19:09,-34.08429,18.85145,33.3,16.98,346.16,0.032,0.136,0.93801
11/3/2022,8:19:11,-34.0842,18.8514,33.2,20.87,329.27,0.052,0.108,0.93801
11/3/2022,8:19:12,-34.08415,18.85137,33,24.21,329.09,-0.068,0.104,1.02401
11/3/2022,8:19:13,-34.08409,18.85132,32.7,26.06,327.99,-0.096,0.108,0.96401
11/3/2022,8:19:14,-34.08403,18.85128,32.5,26.65,328.83,0,0.064,0.98401
11/3/2022,8:19:16,-34.08391,18.8512,32.2,28.93,327.15,0.008,0.104,1.04401
11/3/2022,8:19:18,-34.08377,18.85109,31.6,31.95,325.64,-0.09,0.048,0.98201
11/3/2022,8:19:19,-34.0837,18.85103,31.6,32.04,325.31,-0.02,0.12,0.94001
11/3/2022,8:19:21,-34.08355,18.85092,31.1,34.3,326.3,0.024,0.1,0.90801
11/3/2022,8:19:23,-34.08338,18.85078,30.7,41,325.85,-0.038,0.156,1.08801
11/3/2022,8:19:25,-34.08319,18.85063,30.6,44.52,325.41,0.016,0.11,0.99401
11/3/2022,8:19:27,-34.08298,18.85046,30.2,50.95,325.18,0.02,0.148,1.04801
11/3/2022,8:19:29,-34.08276,18.85026,29.9,55.04,324.46,-0.092,0.086,1.08401
11/3/2022,8:19:31,-34.08252,18.85007,29.8,55.34,325.51,-0.11,0.124,1.00801
11/3/2022,8:19:33,-34.08229,18.84988,29.7,52.91,326.51,-0.186,0.116,0.78201
11/3/2022,8:19:34,-34.08218,18.8498,29.6,49.37,327.26,-0.152,0.108,1.02001
11/3/2022,8:19:35,-34.08207,18.84972,29.5,46.76,326.31,-0.232,0.14,0.99201
11/3/2022,8:19:37,-34.08189,18.84957,29.4,41.5,327.53,-0.152,0.112,0.92801
11/3/2022,8:19:39,-34.08172,18.84945,29.5,34.32,328.02,-0.046,0.114,1.07601
11/3/2022,8:19:40,-34.08166,18.8494,30,32.89,328.16,0,0.068,1.02401
11/3/2022,8:19:42,-34.08152,18.84929,30.8,32.35,326.42,-0.004,0.104,1.02401
11/3/2022,8:19:44,-34.08137,18.84918,31.5,32.69,326.94,-0.002,0.108,1.00801
