Date,Time,Latitude,Longitude,Altitude,Speed,Heading,X-Axis Acceleration,Y-Axis Acceleration,Z-Axis Acceleration
11/3/2022,9:02:32,-33.9326,18.85649,103.7,30.06,262.09,0.164,-0.112,1.00401
11/3/2022,9:02:34,-33.93262,18.85628,103.9,39.17,262.21,0.134,-0.148,0.89801
11/3/2022,9:02:35,-33.93264,18.85615,104,44.28,264.38,0,-0.18,1.02401
11/3/2022,9:02:37,-33.93266,18.85587,103.6,47.3,265.86,-0.03,-0.156,0.97401
11/3/2022,9:02:38,-33.93267,18.85572,103.5,47,264.98,0,-0.096,0.96801
11/3/2022,9:02:39,-33.93268,18.85558,103.4,46.37,263.71,0.02,-0.136,0.96001
11/3/2022,9:02:41,-33.93272,18.8553,102.9,48.3,261.65,0.036,-0.146,0.98201
11/3/2022,9:02:42,-33.93273,18.85515,103,50.99,261.62,0.036,-0.12,0.99201
11/3/2022,9:02:43,-33.93275,18.85499,103.2,49.84,261.56,-0.032,-0.124,0.92801
11/3/2022,9:02:45,-33.9328,18.85467,103.5,55.1,261.18,-0.016,-0.116,1.03601
11/3/2022,9:02:47,-33.93284,18.85434,103.2,53.08,260.73,-0.118,-0.076,1.02401
11/3/2022,9:02:48,-33.93286,18.85418,103,54.8,259.83,-0.108,-0.072,0.96001
11/3/2022,9:02:50,-33.93291,18.8539,103,44.82,258.87,-0.142,-0.138,1.02601
11/3/2022,9:02:51,-33.93293,18.85377,102.6,40.86,257.89,-0.156,-0.136,0.97601
11/3/2022,9:02:52,-33.93295,18.85367,102.4,35.56,255.71,-0.164,-0.132,0.94401
11/3/2022,9:02:53,-33.93297,18.85357,101.7,30.21,254.77,0,-0.14,1.02801
11/3/2022,9:02:54,-33.93299,18.85348,100.7,28.58,255.04,-0.048,-0.148,1.02801
11/3/2022,9:02:55,-33.933,18.8534,99.9,26.76,257.37,-0.1,-0.224,0.98801
11/3/2022,9:02:57,-33.93302,18.85325,98.9,22.48,267.94,-0.076,-0.216,0.97609
11/3/2022,9:02:59,-33.93301,18.85312,98.1,20.37,280.78,-0.06,-0.14,0.91209
11/3/2022,9:03:00,-33.93299,18.85306,97.6,19.37,285.44,-0.192,-0.164,0.92409
11/3/2022,9:03:02,-33.93297,18.85296,96.8,15.08,285.84,-0.09,-0.13,0.95409
11/3/2022,9:03:03,-33.93296,18.85293,96.6,12.83,286.89,-0.052,-0.168,0.94809
11/3/2022,9:03:04,-33.93296,18.85289,96.4,10.39,284.85,0,-0.092,1.10009
11/3/2022,9:03:05,-33.93294,18.85287,96.6,7.85,278.08,-0.076,-0.136,1.02809
11/3/2022,9:03:06,-33.93294,18.85285,96.9,6.78,279.55,0,-0.104,1.00409
11/3/2022,9:03:08,-33.93294,18.85282,96.8,6.59,274.74,0.084,-0.094,1.00201
11/3/2022,9:03:10,-33.93294,18.85278,96.8,9.89,257.39,0.07,-0.048,1.00201
11/3/2022,9:03:12,-33.93296,18.85272,96.8,12.54,242.63,0.102,-0.006,1.07201
11/3/2022,9:03:14,-33.93304,18.85268,96.8,15.82,203.52,0.086,-0.008,0.96401
11/3/2022,9:03:15,-33.93309,18.85267,97,19.71,194.39,0.204,-0.076,1.04001
11/3/2022,9:03:16,-33.93314,18.85265,97.4,24.13,192.03,0.088,-0.148,1.01201
11/3/2022,9:03:17,-33.9332,18.85264,97.7,27.19,192.34,0,-0.116,1.00801
11/3/2022,9:03:19,-33.93334,18.85261,98.5,28.21,189.89,0.028,-0.178,0.95601
11/3/2022,9:03:21,-33.93349,18.85258,99.3,31.72,188.19,0.082,-0.114,0.99401
11/3/2022,9:03:22,-33.93357,18.85257,99.9,33.41,189.06,0.004,-0.096,0.66001
11/3/2022,9:03:24,-33.93374,18.85254,100.8,33.32,187.53,0.002,-0.152,0.95009
11/3/2022,9:03:25,-33.93382,18.85252,101,32.61,188.9,-0.068,-0.128,0.84801
11/3/2022,9:03:26,-33.9339,18.85251,101.5,30.41,189.02,-0.112,-0.156,1.00001
11/3/2022,9:03:27,-33.93397,18.85249,102,26.17,191.29,-0.084,-0.172,0.99201
11/3/2022,9:03:29,-33.93408,18.85247,102.7,17.96,191.22,-0.074,-0.156,1.04801
11/3/2022,9:03:31,-33.93413,18.85246,103.2,8.37,191.4,-0.118,-0.18,0.98809
11/3/2022,9:03:33,-33.93416,18.85246,102.9,0.24,179.4,-0.002,-0.164,0.96809
11/3/2022,9:03:35,-33.93416,18.85246,103,0.15,179.4,0,-0.18,0.99009
11/3/2022,9:03:36,-33.93416,18.85246,103,0.11,179.4,0,-0.18,0.98009
